Company Name,Location,Industry,Founded,Headquarters,CEO,Employees Number
LG Uplus,"Seoul, South Korea",Telecommunications Services,1996,Seoul,Hyun-He Ha,"10,187"
Asian Paints,"Mumbai, India",Chemicals,1945,Mumbai,Amit Syngle,"23,514"
Organon,"Jersey City, New Jersey",Drugs & Biotechnology,"Jersey City, New Jersey",United States,"9,300",
Chang Hwa Bank,"Taichung, Taiwan",Banking,1905,Taichung,Chao-Chung Chou,
Doosan,"Seoul, South Korea",Trading Companies,1896,Seoul,"Hyeon-Su Dong, Min-Cheol Kim","2,034"
Huntsman,"The Woodlands, Texas",Chemicals,1970,"The Woodlands, Texas",Peter R. Huntsman,"9,000"
STRABAG,"Vienna, Austria",Construction,1895,Vienna,Thomas Birtel,"74,340"
Singapore Airlines,"Singapore, Singapore",Transportation,1971,Singapore,Choon Phong Goh,"25,547"
China Resources Beer (Holdings),"Hong Kong, Hong Kong",Food Markets,1992,Hong Kong,Xiao Hai Hou,"25,000"
Uniqa,"Vienna, Austria",Insurance,1922,Vienna,Andreas Brandstetter,"12,818"
Next,"Leicester, United Kingdom",Retailing,2017,Leicester,Simon Adam Wolfson,"44,626"
United Natural Foods,"Providence, Rhode Island",Food Markets,1976,"Providence, Rhode Island",J. Alexander M.,"28,300"
WPG Holdings,"Taipei, Taiwan",Trading Companies,2005,Taipei,Fu Hai Yeh,
China Merchants Port Holdings,"Hong Kong, Hong Kong",Transportation,1872,Hong Kong,Xiu Feng Wang,"8,495"
Sunny Optical Technology Group,"Yuyao, China",Technology Hardware & Equipment,1984,Yuyao,Yang Sun,"24,664"
Gunma Bank,"Maebashi, Japan",Banking,1932,Maebashi,Kazuo Saito,"3,175"
Sahara International Petrochemical,"Riyadh, Saudi Arabia",Chemicals,1999,Riyadh,Abdullah Saif Al-Saadoon,
Bank of Zhengzhou,"Zhengzhou, China",Banking,1996,Zhengzhou,Xue Qing Shen,"5,526"
Zheshang Development Group,"Hangzhou, China",Construction,Hangzhou,China,"1,865",
Hengyi Petrochemical ,"Hangzhou, China",Chemicals,Hangzhou,China,"18,154",
Bank Pekao,"Warsaw, Poland",Banking,1929,Warsaw,Leszek Skiba,"14,702"
Cerner,"North Kansas City, Missouri",Health Care Equipment & Services,1979,"North Kansas City, Missouri",David T. Feinberg,"17,605"
China Shipbuilding Industry,"Beijing, China",Capital Goods,2008,Beijing,Liang Wang,"33,141"
Twitter,"San Francisco, California",IT Software & Services,2006,"San Francisco, California",Jack Patrick Dorsey,"7,500"
Hirogin Holdings,"Hiroshima, Japan",Banking,Hiroshima,Japan,,
Jyske Bank,"Silkeborg, Denmark",Banking,1967,Silkeborg,Anders Christian Dam,"3,242"
Ceconomy,"Dusseldorf, Germany",Retailing,2017,Dusseldorf,Karsten Wildberger,"52,924"
DexCom,"San Diego, California",Health Care Equipment & Services,1999,"San Diego, California",Kevin Ronald Sayer,"6,300"
Harbin Bank,"Harbin, China",Banking,1997,Harbin,Zhi Wen Guo,"6,910"
Autodesk,"San Rafael, California",IT Software & Services,1982,"San Rafael, California",Andrew Anagnost,"12,600"
CPI Property Group,"Luxembourg, Luxembourg",Construction,2004,Luxembourg,Martin Nemecek,"3,485"
Kingboard Holdings,"Hong Kong, Hong Kong",Chemicals,1988,Hong Kong,Wing Yiu Chang,"36,000"
Sinotrans Ltd.,"Beijing, China",Transportation,2002,Beijing,Rong Song,"33,794"
Will Semiconductor,"Shanghai, China",Semiconductors,2007,Shanghai,Jian Qiu Ma,"4,493"
Bawag Group,"Vienna, Austria",Banking,2005,Vienna,Anas Abuzaakouk,"3,716"
Rajesh Exports,"Bangalore, India",Consumer Durables,Bangalore,India,181,
Wacker Chemie,"Munich, Germany",Chemicals,1920,Munich,Christian Hartel,"14,406"
Ganfeng Lithium,"Xinyu, China",Chemicals,2000,Xinyu,"7,870",
Usiminas,"Belo Horizonte, Brazil",Materials,1953,Belo Horizonte,Sérgio Leite de Andrade,
New York Community Bancorp,"Hicksville, New York",Banking,1993,"Hicksville, New York",Thomas Robert Cangemi,"2,815"
Banco Comercial Portugues,"Porto, Portugal",Banking,1985,Porto,Miguel Maya Dias Pinheiro,"15,868"
Yamaguchi Financial,"Shimonoseki, Japan",Banking,1878,Shimonoseki,Keisuke Mukunashi,"4,415"
China Communications Services,"Beijing, China",Telecommunications Services,2006,Beijing,Zhang Zhiyong,"93,087"
Castellum,"Gothenburg, Sweden",Construction,Gothenburg,Sweden,427,
Meritz Securities,"Seoul, South Korea",Diversified Financials,Seoul,South Korea,"1,501",
China Development Bank Financial Leasing,"Shenzhen, China",Banking,1984,Shenzhen,Xue Dong Wang,533
Shinsei Bank,"Tokyo, Japan",Banking,1952,Tokyo,Hideyuki Kudo,"5,605"
BOK Financial,"Tulsa, Oklahoma",Banking and Financial Services,1908,"Tulsa, Oklahoma",Stacy C. Kymes,"4,711"
Bank of Kyoto,"Kyoto, Japan",Banking,1941,Kyoto,Nobuhiro Doi,"3,553"
Akelius Residential Property,"Stockholm, Sweden",Construction,1994,Stockholm,Ralf Spann,865
Hong Leong Financial,"Kuala Lumpur, Malaysia",Business Services & Supplies,1963,Kuala Lumpur,Kong Khoon Tan,"7,803"
World Fuel Services,"Miami, Florida",Trading Companies,1984,"Miami, Florida",Michael J. Kasbar,"4,414"
Nitto Denko,"Osaka, Japan",Chemicals,1918,Osaka,Hideo Takasaki,"25,424"
Dai Nippon Printing,"Tokyo, Japan",Business Services & Supplies,1876,Tokyo,Yoshitoshi Kitajima,"37,062"
Aena,"Madrid, Spain",Transportation,1991,Madrid,Maurici Lucena Betriu,"8,811"
Sino Biopharmaceutical,"Hong Kong, Hong Kong",Drugs & Biotechnology,2000,Hong Kong,Yi Li,"25,579"
North Pacific Bank,"Sapporo, Japan",Banking,1917,Sapporo,Mitsuharu Yasuda,"3,106"
LG Household & Health Care,"Seoul, South Korea",Household & Personal Products,2001,Seoul,Suk-Yong Cha,"4,469"
Interactive Brokers Group,"Greenwich, Connecticut",Diversified Financials,1977,"Greenwich, Connecticut",Milan Galik,"2,571"
Xinyu Iron & Steel,"Xinyu, China",Capital Goods,Xinyu,China,"16,755",
Japan Securities,"Tokyo, Japan",Business Services & Supplies,1927,Tokyo,Minoru Masubuchi,272
Clal Insurance Enterprises ,"Tel Aviv, Israel",Insurance,Tel Aviv,Israel,"4,198",
CrowdStrike,"Austin, Texas",IT Software & Services,2011,"Austin, Texas",George P. Kurtz,"4,965"
K+S,"Kassel, Germany",Chemicals,1889,Kassel,Burkhard Lohr,"10,711"
NortonLifeLock,"Tempe, Arizona",IT Software & Services,1988,"Tempe, Arizona",Vincent Pilette,"2,800"
Nishi-nippon Financial Holdings,"Fukuoka, Japan",Banking,Fukuoka,Japan,"4,018",
Commercial International Bank,"Giza, Egypt",Banking,1975,Giza,Hussein Majid Abaza,"7,308"
Investec,"London, United Kingdom",Diversified Financials,1998,London,Fani Titi,"8,200"
Bank of Tianjin,"Tianjin, China",Banking,1996,Tianjin,Philip Eric Rene,"6,852"
Trip.com Group,"Shanghai, China",Business Services & Supplies,1999,Shanghai,Jane Jie Sun,"33,400"
Hachijuni Bank,"Nagano, Japan",Banking,1931,Nagano,Shoichi Yumoto,"3,689"
Snap,"Santa Monica, California",IT Software & Services,2010,"Santa Monica, California",Evan Thomas Spiegel,"5,661"
SDIC Capital,"Beijing, China",Household & Personal Products,Beijing,China,"6,975",
China Northern Rare Earth High-Tech,"Baotou, China",Materials,1961,Baotou,Ye Dong Qu,"9,511"
"Sumitomo Forestry Co.,","Tokyo, Japan",Construction,1948,Tokyo,Ryu Yano,"21,254"
AB Sagax,"Stockholm, Sweden",Construction,1995,Stockholm,David Gustaf Mindus,87
NiSource,"Merrillville, Indiana",Utilities,1847,"Merrillville, Indiana",Lloyd M. Yates,"7,342"
Kyushu Financial Group,"Kumamoto, Japan",Banking,2015,Kumamoto,Takahiro Kai,"4,578"
"LG Innotek Co.,","Seoul, South Korea",Technology Hardware & Equipment,1976,Seoul,Cheol-Dong Jeong,"12,415"
Kaspi.kz JSC,"Almaty, Kazakhstan",Diversified Financials,2008,Almaty,Mikhail Lomtadze,
Qorvo,"Greensboro, North Carolina",Semiconductors,1991,"Greensboro, North Carolina",Robert A. Bruggeworth,"8,400"
Stifel Financial,"St. Louis, Missouri",Diversified Financials,1890,"St. Louis, Missouri",Ronald James Kruszewski,"8,600"
Commercial Bank For Investment & Development Of Vietnam,"Ha Noi, Vietnam",Banking,1957,Ha Noi,Lam Ngoc Le,"27,223"
Check Point Software,"Tel Aviv, Israel",IT Software & Services,1993,Tel Aviv,Gil Shwed,"5,805"
Evolution Gaming Group AB,"Stockholm, Sweden","Hotels, Restaurants & Leisure",2006,Stockholm,Martin Olof Carlesund,"13,410"
Shizuoka Bank,"Shizuoka, Japan",Banking,1943,Shizuoka,Hisashi Shibata,"3,288"
YPF ,"Buenos Aires, Argentina",Oil & Gas Operations,1977,Buenos Aires,Sergio Pablo Antonio,
Workday,"Pleasanton, California","IT, Internet, Software & Services",2005,"Pleasanton, California",Aneel Bhuri,"15,200"
Bank Albilad,"Riyadh, Saudi Arabia",Banking,2004,Riyadh,Abdul Aziz bin Mohammed Al-Onaizan,"4,291"
ZTO Express (Cayman),"Shanghai, China",Transportation,2002,Shanghai,Mei Song Lai,
HF Sinclair,"Dallas, Texas",Oil & Gas Operations,1947,"Dallas, Texas",Michael C. Jennings,"4,208"
Tingyi Holding,"Shanghai, China","Food, Drink & Tobacco",1991,Shanghai,Richard Chen,"62,107"
Samsung Electro-Mechanics,"Suwon-si, South Korea",Technology Hardware & Equipment,1973,Suwon-si,Duck-Hyun Chang,"11,866"
Invitation Homes,"Dallas, Texas",Diversified Financials,2012,"Dallas, Texas",Dallas B. Tanner,"1,240"
Korea Shipbuilding & Offshore Engineering,"Seoul, South Korea",Capital Goods,1973,Seoul,Sam-Hyeon Gah,649
Harel Insurance Investments & Financial Services,"Ramat Gan, Israel",Insurance,1982,Ramat Gan,Michel Siboni,"4,635"
Shionogi,"Osaka, Japan",Drugs & Biotechnology,1919,Osaka,Motozo Shiono,"5,485"
Quilter,"London, United Kingdom",Diversified Financials,2007,London,Paul W. Feeney,"4,343"
Inner Mongolia Yitai Coal,"Ordos, China",Materials,1997,Ordos,Jian Liu,"5,241"
NH Investment & Securities,"Seoul, South Korea",Diversified Financials,Seoul,South Korea,"3,044",
Metro Group,"Dusseldorf, Germany",Food Markets,2008,Dusseldorf,Steffen Greubel,"92,694"
Snowflake,"Bozeman, Montana",IT Software & Services,2012,"Bozeman, Montana",Frank Slootman,"3,992"
DXC Technology,"Ashburn, Virginia",Professional Service,2017,"Ashburn, Virginia",Michael J. Salvino,"138,000"
Owens Corning,"Toledo, Ohio",Construction,1938,"Toledo, Ohio",Brian D. Chambers,"20,000"
Chugoku Electric Power,"Hiroshima, Japan",Utilities,1951,Hiroshima,Tomohide Karita,"13,050"
Kiwoom Securities,"Seoul, South Korea",Diversified Financials,2000,Seoul,Hyun-Soon Hwang,941
Vulcan Materials,"Birmingham, Alabama",Construction,1909,"Birmingham, Alabama",J. Thomas Hill,"11,437"
